District Name,District Code,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %"
Lynn,1630000,"5,093",15.4,"12,825",8.2,7.5,67.9,13,0.3,0,3.1
Lynnfield,1640000,861,17.6,"2,179",1.9,6.9,5.8,82.2,0,0,3.2
MATCH Charter Public School (District),4690000,357,19.9,"1,220",48,0.5,46.8,1.5,0.4,0.3,2.5
Ma Academy for Math and Science,4680000,32,11,44,0,63.6,0,31.8,0,0,4.6
Malden,1650000,"2,778",18.6,"6,237",19.4,23,26.4,27.1,0.3,0,3.9
Manchester Essex Regional,6980000,671,14.8,"1,271",0.5,1.2,1.3,96.5,0,0,0.6
Mansfield,1670000,"1,525",15,"3,527",4.5,7.5,6.2,77.4,0.1,0,4.1
Map Academy Charter School (District),35170000,130,15.1,203,4.9,0.5,15.3,71.9,1,0.5,5.9
Marblehead,1680000,"1,603",16.2,"2,723",3,1.4,6.9,85.2,0,0,3.4
Marblehead Community Charter Public (District),4640000,89,18.2,211,5.7,1.9,9.5,80.1,0,0,2.8
Marion,1690000,313,9.4,403,4.5,1.5,4,84.1,0,0,6
Marlborough,1700000,"3,081",12.2,"4,901",3.8,0.7,52.8,38,0,0,4.7
Marshfield,1710000,"2,148",11.6,"3,817",0.7,1.1,3.6,92.3,0.2,0.2,2
Martha's Vineyard,7000000,423,12.8,677,5.5,1.3,20.8,65.3,2.1,0.2,4.9
Martha's Vineyard Charter (District),4660000,86,11.6,166,0.6,0.6,13.3,70.5,1.8,0,13.3
Martin Luther King Jr. Charter School of Excellence (District),4920000,108,20,360,30.3,1.1,64.2,3.6,0.3,0,0.6
Masconomet,7050000,940,15.8,"1,692",0.7,3.7,3.1,90,0.1,0.2,2.4
Mashpee,1720000,959,14.8,"1,525",5.1,1.9,5.9,71.9,5.6,0.1,9.5
Mattapoisett,1730000,402,10.5,412,0.2,1,5.1,88.1,0,0,5.6
Maynard,1740000,805,15.6,"1,189",1.8,2,13.2,78.3,0.2,0,4.5
