District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Needham,1990000,"5,575",3.3,1.9,"5,491",98.6
Neighborhood House Charter (District),4440000,816,3.4,1.3,815,96.7
New Bedford,2010000,"13,279",14.7,6.8,"12,595",93.5
New Heights Charter School of Brockton (District),35130000,759,3,0.1,759,97
New Salem-Wendell,7280000,136,10.3,6.6,130,93.8
Newburyport,2040000,"2,175",4.3,2.6,"2,127",97.8
Newton,2070000,"12,393",5.4,2.8,"12,087",97.2
Norfolk,2080000,"1,002",3.1,1.6,989,98.2
Norfolk County Agricultural,9150000,587,1.9,0,587,98.1
North Adams,2090000,"1,346",12.4,8.3,"1,267",93.2
North Andover,2110000,"4,636",5.2,3.1,"4,512",97.6
North Attleborough,2120000,"4,116",7.7,3.6,"3,984",96.8
North Brookfield,2150000,543,12.3,8.1,503,94.6
North Middlesex,7350000,"3,026",10.6,5,"2,903",95.8
North Reading,2170000,"2,351",3,1.8,"2,311",98.7
Northampton,2100000,"2,694",8.5,4.7,"2,593",95.3
