District Name,District Code,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count
Brewster,410000,0.5,7.7,9.6,16,28,25,5.6,92.4
Bridge Boston Charter School (District),4170000,12.7,30.3,12.6,3,6,4.1,0,68.6
Bridgewater-Raynham,6250000,17,77.1,113,93.8,119.5,84.8,19,524.3
Brimfield,430000,1.3,4,9.8,12.3,12.1,2.8,2,44.1
Bristol County Agricultural,9100000,2,10,17,9.2,9,6,2,55.2
Bristol-Plymouth Regional Vocational Technical,8100000,2,8,27.6,38.1,43.5,30.2,3.6,153.1
Brockton,440000,107.2,239.2,369.8,433.1,430.7,298.2,73,"1,951.20"
Brooke Charter School (District),4280000,55,144,71,19,6,0,0,295
Brookfield,450000,1.3,0.6,6.4,8.3,11.7,14.2,0,42.4
Brookline,460000,91.8,301.7,313.1,244.6,222.9,133.3,40.8,"1,348.20"
Burlington,480000,36.6,78.5,144.6,110.1,102,69,15.9,556.7
Cambridge,490000,68.8,313.5,365.3,319.5,257.8,149.5,45.6,"1,520.00"
Canton,500000,25,53,101.7,105.2,89.4,54.6,12.7,441.7
Cape Cod Lighthouse Charter (District),4320000,1,2.2,7,11.3,8.4,9.8,1.8,41.5
Cape Cod Regional Vocational Technical,8150000,2,4.4,16.9,19.6,28.7,26.4,4.8,102.8
Carlisle,510000,9,10,23.5,25.4,20.8,21.8,1,111.5
Carver,520000,10.2,30.1,32.8,42.3,53.7,37.5,5,211.6
Central Berkshire,6350000,6,20,42.1,47.5,61.7,42,9,228.3
Chelmsford,560000,25.5,95.9,138,160.6,176,114.3,30,740.3
Chelsea,570000,75.3,225.6,153.7,102.3,94.9,72.4,25.8,750
Chesterfield-Goshen,6320000,1,3,2.1,7.6,4.2,5.4,1.2,24.6
Chicopee,610000,41,144,243.7,254.9,238.1,167.2,40,"1,128.90"
Christa McAuliffe Charter Public (District),4180000,7,22,13.8,10,9,5.5,1,68.3
City on a Hill Charter Public School Circuit Street (District),4370000,9,16.1,13,4,2,0.5,0.8,45.4
Clarksburg,630000,3,3.5,3.9,6,9.1,2.5,0.6,28.5
Clinton,640000,14,44,45.7,50.9,54.1,44.4,6,259
Codman Academy Charter Public (District),4380000,13,34,11.4,12.5,7.7,2,0,80.6
Cohasset,650000,7.3,31.2,35.2,32.9,73.9,30.9,6.1,217.4
Collegiate Charter School of Lowell (District),35030000,19,31,15,9,8,5,4,91
Community Charter School of Cambridge (District),4360000,7.5,29.9,17.6,7.3,2.5,2,0.8,67.5
Community Day Charter Public School - Gateway (District),4260000,14.5,24.3,15.4,6.4,4.9,3.1,0.5,69.1
Community Day Charter Public School - Prospect (District),4400000,7,25.6,10.8,10.3,4,6.9,1.7,66.3
Community Day Charter Public School - R. Kingman Webster (District),4310000,17,21.6,9.9,6.4,2.4,1.1,0.3,58.6
Concord,670000,17.8,48.1,64.6,75.4,90.6,56.2,8.8,361.6
Concord-Carlisle,6400000,9.5,24.8,26.1,53.9,42.2,29.8,6.1,192.4
Conservatory Lab Charter (District),4390000,7,34.5,11.3,8,1,2,3,66.8
Conway,680000,1,5.7,3.8,5.3,7.2,14.6,2.1,39.7
Danvers,710000,30,87.2,89.6,78.4,93.6,78,12.7,469.5
Dartmouth,720000,12,49.5,96.2,93.6,130.3,53.2,8.9,443.8
Dedham,730000,21.8,79.8,108.1,88,90.5,49,11.4,448.6
Deerfield,740000,3,12.5,19.4,12.8,13,18,3,81.6
Dennis-Yarmouth,6450000,19.7,47.1,84.3,95.1,110.7,104.3,27,488.2
Dighton-Rehoboth,6500000,8,30,55.7,77.3,105.3,63,9,348.3
Douglas,770000,14,37,28.8,46.3,42.4,19.1,5,192.6
Dover,780000,10.9,10.5,11.9,14.3,17.7,13.7,1.4,80.5
