District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Narragansett,7200000,13.2,11.5,10.8,8.5,7.3,8.4,10.5,3.4,27.8,15.4,9.9,6.3,11.2
Nashoba,7250000,7.4,7.2,2.3,5.7,7,5.8,5.9,4.4,24,2.5,4.5,2.1,6.8
Nashoba Valley Regional Vocational Technical,8520000,,,,,,,,,,4.4,2.7,0.6,2.6
Natick,1980000,8.2,3.8,6.7,4.2,4.2,5.4,4,2.7,7.2,4.1,1.8,0.2,4.4
Nauset,6600000,,,,,,,4.4,3.9,22.9,5,3.2,2.6,6.7
Needham,1990000,7.9,6.9,5.9,5.7,6.7,9.3,9.5,5.4,5.9,3.2,2.9,1.2,5.9
Neighborhood House Charter (District),4440000,7.7,0,0,11.4,18.2,9,22.4,7.2,27.1,11.4,3.3,0,10.7
New Bedford,2010000,5.8,6.7,4.8,4.6,13.5,13.6,4.5,4.4,30.9,3.7,3.7,6,8.9
New Heights Charter School of Brockton (District),35130000,,,,,,,4.3,1.7,21.4,16,1.9,2.4,7.8
New Salem-Wendell,7280000,5,4.3,6.7,0,0,6.7,,,,,,,3.7
Newburyport,2040000,17.8,7,9.3,3.6,5.4,4,4.2,3.5,13.6,2.8,2.2,0.5,6
Newton,2070000,11.4,10.7,10,7.4,8.2,10.6,6.7,5.4,8.2,4.8,3.3,2.5,7.3
Norfolk,2080000,3.8,4.6,4.2,0.8,5.2,4.3,,,,,,,3.8
Norfolk County Agricultural,9150000,,,,,,,,,,4.2,0,2.3,2.1
North Adams,2090000,13.6,10.2,7.1,6.9,7.1,15.6,13.4,5.6,38.1,7.6,4.5,5.6,12
North Andover,2110000,7.8,6.6,5.2,1.8,2.6,6.3,3.4,3.9,15.2,4,2.2,0.8,5
North Attleborough,2120000,8.2,6.6,5.7,6.1,4.8,6.7,5,4.5,27.3,3,3.3,0.4,7.2
North Brookfield,2150000,14.6,28.2,15.4,12.2,8.8,2.8,16.7,5,21.7,25.8,6.1,7.7,14.3
North Middlesex,7350000,12.1,9.8,9.8,13.1,8.1,8.4,6.2,5.5,29.2,2.9,3.8,2.4,9.6
North Reading,2170000,3.1,4,2.9,1.8,2.1,6.6,4.1,1.6,19.5,1.1,4.1,1.1,4.2
Northampton,2100000,10.4,7.1,9,4.6,6.2,6.7,7.2,4.2,19.9,4.9,4.2,0.5,7
