District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Dudley-Charlton Reg,6580000,"1,629",17.1,"3,474",48.9,51.1,3.3,16.5,26.6
Duxbury,820000,"1,444",19,"2,810",48.3,51.6,0.5,13.8,7.1
East Bridgewater,830000,"1,107",19,"2,126",47.4,52.6,1.4,17.6,23.4
East Longmeadow,870000,"1,288",17.4,"2,426",48,51.9,1.6,19.2,22.5
Eastham,850000,190,10.2,194,44.9,55.2,6.7,18,39.7
Easthampton,860000,521,20.2,"1,453",48.3,51.2,3.1,22.4,36.1
Easton,880000,"1,257",18,"3,454",49.1,50.9,1.8,19.6,17
Edgartown,890000,353,13.4,393,50.1,49.9,22.1,26,38.9
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,212,19.9,401,66.3,33.7,12.2,20.2,72.1
Erving,910000,36,12.4,113,42.5,57.5,0,19.5,32.7
Essex North Shore Agricultural and Technical School District,8170000,"1,150",16.9,"1,566",58,41.7,0.3,16.7,19.2
Everett,930000,"3,499",20,"7,204",49.1,50.8,28.5,16,63.4
Excel Academy Charter (District),4100000,366,24.3,"1,398",49.7,50.3,8.7,19.8,54.8
Fairhaven,940000,"1,085",8.2,"1,713",49.4,50.6,1.2,16.8,31.2
Fall River,950000,"5,358",14.3,"10,333",48.7,51.3,17.8,22.7,74.4
Falmouth,960000,"1,717",14.8,"3,019",47.5,52.3,4.2,19.7,33.8
Farmington River Reg,6620000,76,13.8,118,50,50,0,24.6,40.7
Fitchburg,970000,"2,455",18.6,"5,193",48,52,16.3,22.4,67.6
Florida,980000,89,9.2,86,45.4,54.7,0,22.1,38.4
Four Rivers Charter Public (District),4130000,187,17.2,215,56.7,42.3,0,14,28.4
Foxborough,990000,"1,332",16.7,"2,426",47.2,52.8,2.6,20.1,19
Foxborough Regional Charter (District),4460000,687,20.2,"1,687",51.7,48.3,7.4,9.9,30.8
Framingham,1000000,"6,754",12.4,"8,862",48.8,51.1,26.9,21.8,46.8
Francis W. Parker Charter Essential (District),4780000,252,16.6,391,55,44.5,0,15.4,9
Franklin,1010000,"2,707",15.4,"4,847",48.1,51.8,1.5,16.9,12
Franklin County Regional Vocational Technical,8180000,250,13,543,39,60.8,0.4,29.1,39.8
Freetown-Lakeville,6650000,"1,005",17,"2,603",49.7,50.3,0.9,16.7,18.9
Frontier,6700000,529,12,649,46.7,53.3,0.6,15.9,21.4
Gardner,1030000,700,16.7,"2,148",47.3,52.7,6,23.4,58.3
Gateway,6720000,555,12.6,758,47.9,52.1,2.2,23.2,38.5
Georgetown,1050000,623,14.9,"1,223",50,50,0,17,11.5
Gill-Montague,6740000,519,13.5,845,48.5,51.1,7.8,27.5,52.8
