DISTRICT,Org Code,PK-2 (# ),3-5 (# ),6-8 (# ),9-12 (# ),Multiple Grades (# ),All Grades (# ),FTE Count
Phoenix Academy Public Charter High School Springfield (District),35080000,0,0,0,0.1,4.2,3.3,7.6
Phoenix Charter Academy (District),04930000,0,0,0,5.3,8.4,0,13.7
Pioneer Charter School of Science (District),04940000,10.3,13.3,13.4,10.4,25,0,72.4
Pioneer Charter School of Science II (PCSS-II) (District),35060000,0,0,8.2,10.4,17.3,0,35.9
Pioneer Valley,07500000,16.9,13.1,15.7,14.8,0,0,60.6
Pioneer Valley Chinese Immersion Charter (District),04970000,16.2,13.3,17.4,13.7,8.9,1.2,70.6
Pioneer Valley Performing Arts Charter Public (District),04790000,0,0,7.6,5.7,27.7,0.3,41.3
Pittsfield,02360000,92,84.9,75.7,101.8,73.6,58.2,486.1
Plainville,02380000,20.6,14.2,4.4,0,5,0,44.2
Plymouth,02390000,136,132.2,123.5,200.2,36.3,5.5,633.7
Plympton,02400000,9,7.5,2.8,0,0,0,19.3
Prospect Hill Academy Charter (District),04870000,25.3,26.8,21.9,19,15.9,0,109
Provincetown,02420000,5.1,5.3,3.6,0,1,3.1,18.2
Quabbin,07530000,29.2,24,24.6,40.2,14.1,8.8,140.8
Quaboag Regional,07780000,18,16.8,20.3,12.6,28.1,0,95.8
Quincy,02430000,190.4,155.5,113.5,108.2,0,169.7,737.2
Ralph C Mahar,07550000,0,0,23.9,17.1,16.7,0,57.6
Randolph,02440000,49.4,43.2,41.4,49.3,28,1.1,212.4
Reading,02460000,61.5,50.1,82.3,87.4,27,7.7,316
Revere,02480000,111.9,108.5,132.6,89.4,114.6,4.1,561.1
Richmond,02490000,7.2,6.6,5.6,0,0,0,19.3
Rising Tide Charter Public (District),04830000,0,6.3,20.2,2.2,31.4,0,60.2
River Valley Charter (District),04820000,2.7,0.7,6.8,0,14.5,0,24.7
Rochester,02500000,15.3,17.9,5.9,0,1,1,41.1
Rockland,02510000,45.7,42.1,40.7,42.9,2.6,1.3,175.2
Rockport,02520000,17.5,14.5,27.3,29.8,0,0.2,89.2
Rowe,02530000,3.3,3.5,1.6,0,0,0,8.3
Roxbury Preparatory Charter (District),04840000,0,9.8,43.5,12.8,20.2,0,86.3
Sabis International Charter (District),04410000,17.7,20.1,20.7,25.8,0,1,85.3
Salem,02580000,88.9,74,56,89.6,3.3,11.9,323.6
Salem Academy Charter (District),04850000,0,0,19.3,24.5,0,0.7,44.4
Sandwich,02610000,44.5,44.2,47.7,18.2,54.5,0,209.1
Saugus,02620000,32.9,29.5,41.5,48.7,17,4.7,174.3
Savoy,02630000,1.8,1.8,1.5,0,0,0.5,5.6
Scituate,02640000,45.3,46.8,59,62.9,21.5,5.7,241.1
